Student_ID,Attendance_%,Avg_Marks,Assignment_%,Stress_Score,Risk_Level
S01,92,85,90,2,0
S02,88,78,82,3,0
S03,75,65,70,5,1
S04,60,55,58,7,2
S05,82,74,80,4,1
S06,95,88,92,1,0
S07,68,60,65,6,2
S08,77,69,72,5,1
S09,90,81,87,3,0
S10,55,48,50,8,2
S11,84,76,79,4,1
S12,91,83,88,2,0
S13,73,64,68,5,1
S14,62,57,60,7,2
S15,86,79,83,3,0
S16,80,72,75,4,1
S17,58,52,55,8,2
S18,94,87,91,1,0
S19,76,67,70,5,1
S20,64,59,62,6,2
S21,89,80,85,3,0
S22,78,70,73,4,1
S23,59,50,54,7,2
S24,93,86,90,2,0
S25,72,63,66,5,1
S26,61,56,58,7,2
S27,87,79,82,3,0
S28,79,71,74,4,1
S29,57,49,52,8,2
S30,90,82,86,2,0
S31,74,66,69,5,1
S32,63,58,61,6,2
S33,85,77,81,3,0
S34,81,73,76,4,1
S35,56,47,49,9,2
S36,96,89,93,1,0
S37,70,62,65,5,1
S38,65,57,60,6,2
S39,88,80,84,3,0
S40,83,75,78,4,1
